time_steps,model__units,model__dropout,batch_size,epochs,MAE
5,256,0.2,16,37,982.4009083207832
6,256,0.2,16,21,977.0784858182732
7,256,0.2,16,62,1022.9812766691769
8,256,0.2,16,35,998.5811841114456
9,256,0.2,16,67,925.7846071787149
10,256,0.2,16,57,929.5250015719316
11,256,0.2,16,56,946.6716706488934
